address,price,floor,area,year_built,rooms,elevator,parking,warehouse,district_code,price_per_sqm,building_age,area_x_rooms,elevator_high_floor,area_level_num,area_bin_num
دریاچه شهدای خلیج فارس,10700000000,8,125,1392,3,1,1,1,93,85600000.0,12,375,1,2,3
نیلوفر,20900000000,3,110,1400,2,1,1,1,202,190000000.0,4,220,0,3,3
منیریه,13300000000,5,102,1403,2,1,1,1,188,130392156.9,1,204,1,2,3
سهروردی,11285000000,3,61,1393,1,1,1,1,120,185000000.0,11,61,0,3,2
آسمان,13800000000,3,110,1389,3,1,1,1,5,125454545.5,15,330,0,2,3
هروی,16200000000,2,110,1401,2,1,1,1,204,147272727.3,3,220,0,2,3
یوسف‌آباد,18200000000,4,101,1403,2,1,1,1,236,180198019.8,1,202,1,3,3
سعادت‌آباد,14500000000,2,65,1398,1,1,1,1,114,223076923.1,6,65,0,3,2
باغ فیض,5450000000,0,33,1387,-1,1,1,0,35,165151515.2,17,-33,0,3,1
شهران جنوبی,7500000000,2,83,1387,2,0,1,1,136,90361445.78,17,166,0,2,2
سعادت‌آباد,17300000000,2,95,1389,2,1,1,1,114,182105263.2,15,190,0,3,2
شهران شمالی,5050505050,0,51,1383,1,0,1,1,137,99029510.78,21,51,0,2,2
پیروزی,4150000000,4,46,1401,1,1,1,1,218,90217391.3,3,46,1,2,1
سعادت‌آباد,27000000000,4,110,1403,2,1,1,1,114,245454545.5,1,220,1,3,3
جنت‌آباد مرکزی,9600000000,2,75,1392,2,1,1,1,57,128000000.0,12,150,0,2,2
سازمان برنامه,20350000000,3,138,1399,2,1,1,1,109,147463768.1,5,276,0,2,3
